"status","description","time_occurred","case_no","time_reported","location","date"
"Closed","-Credit card fraud","10/05/15 at 9:18 a.m. to 10/19/15 at 11:00 a.m.","2015-01874","1:58 p.m.","Duke University","Nov.  02, 2015"
"Closed","-Larceny","12:00 p.m. to 2:00 p.m.","2015-01875","2:13 p.m.","Divinity School","Nov.  02, 2015"
"Closed","-Larceny","1:55 p.m. to 2:00 p.m.","2015-01876","2:25 p.m.","Sanford Public Policy","Nov.  02, 2015"
"Closed","-Larceny","2:40 p.m. to 2:45 p.m.","2015-01877","3:02 p.m.","Fuqua School of Business","Nov.  02, 2015"
"Closed","-Larceny","10/25/15 at 6:00 p.m. to 7:00 p.m.","2015-01817","10:09 a.m.","Duke Hospital North","Oct.  26, 2015"
"Closed","-Larceny","3:50 p.m. to 3:55 p.m.","2015-01819","4:00 p.m.","Duke Eye Center","Oct.  26, 2015"
"Closed","-Larceny","10/04/15 at 6:30 p.m. to 8:30 p.m.","2015-01829","3:18 p.m.","Biddle Music Bldg.","Oct.  27, 2015"
"Closed","-Larceny","10/27/15 at 2:03 p.m. to 6:00 p.m.","2015-01832","9:03 a.m.","Smith Warehouse","Oct.  28, 2015"
"Closed","-B&amp;e to bldg.","10/16/15 at 3:00 p.m. to 10/28/15 at 8:30 a.m.","2015-01834","10:54 a.m.","Genome Science Research Bldg.","Oct.  28, 2015"
"Closed-SC","-Student drug violation","10/02/15 at 11:05 p.m.","Student Conduct Report","11:09 a.m.","Alspaugh Dorm","Oct.  28, 2015"
"Closed","-Larceny","10/27/15 at 11:00 p.m. to 10/28/15 at 11:45 a.m.","2015-01836","3:59 p.m.","4B Dorm","Oct.  28, 2015"
"Closed","-Larceny","1:20 p.m. to 1:55 p.m.","2015-01842","2:12 p.m.","Biological Sciences Bldg.","Oct.  29, 2015"
"Closed","-Larceny","10/27/15 at 3:00 p.m. to 10/28/15 at 5:30 p.m.","2015-01844","2:14 p.m.","Children&rsquo;s Health Center","Oct.  29, 2015"
"Arrest","-Filing false police report","Same","2015-01849","12:24 a.m.","Pegram Dorm exterior","Oct.  30, 2015"
"Closed","-Larceny","1:20 p.m. to 1:40 p.m.","2015-01850","1:42 p.m.","Duke Hospital North ED","Oct.  30, 2015"
"Closed-SC","-Underage consumption","12:27 a.m.","2015-01854","12:28 a.m.","House B","Oct.  31, 2015"
